Attack,Success,Pct_Words_Changed,Queries,Time_Sec
HotFlip,True,22.22222222222222,,0.3768043518066406
Synonym Substitution,False,22.22222222222222,31.0,0.9405956268310547
HotFlip,False,25.0,,1.4188315868377686
Synonym Substitution,True,15.0,29.0,1.0012502670288086
HotFlip,True,10.0,,0.8822810649871826
Synonym Substitution,True,25.0,38.0,1.448974370956421
HotFlip,True,22.22222222222222,,0.43645715713500977
Synonym Substitution,False,33.333333333333336,38.0,1.2026252746582031
HotFlip,True,19.047619047619047,,1.5634853839874268
Synonym Substitution,True,33.333333333333336,71.0,2.6556355953216553
HotFlip,True,20.0,,0.17138075828552246
Synonym Substitution,False,40.0,26.0,0.5776236057281494
HotFlip,True,20.0,,0.47768139839172363
Synonym Substitution,True,20.0,24.0,0.8045518398284912
HotFlip,True,5.0,,0.4814183712005615
Synonym Substitution,True,5.0,20.0,0.8803360462188721
HotFlip,True,15.151515151515152,,3.1521191596984863
Synonym Substitution,False,15.151515151515152,64.0,3.431978702545166
HotFlip,True,12.5,,0.760167121887207
Synonym Substitution,True,18.75,37.0,1.2660987377166748
HotFlip,True,13.333333333333334,,2.1585516929626465
Synonym Substitution,True,10.0,38.0,1.620154857635498
HotFlip,True,15.789473684210526,,1.3415024280548096
Synonym Substitution,False,31.57894736842105,60.0,2.2357051372528076
HotFlip,True,4.3478260869565215,,0.39986419677734375
Synonym Substitution,True,4.3478260869565215,31.0,1.0710747241973877
HotFlip,True,4.0,,0.46172261238098145
Synonym Substitution,False,24.0,67.0,2.421863317489624
HotFlip,False,25.0,,1.9613103866577148
Synonym Substitution,False,5.0,46.0,1.7724051475524902
